restaurant name,category,rating,cost for two,area,locality,address,veg,long distance delivery,city
the biryani life,"biryani,hyderabadi,lucknowi,north indian,mughlai,desserts",3.7,200,sadar,"azad chowk, near gandhi chowk","faasos, plot no. 227 1, azad chowk, near gandhi chowk, opp kachara ghar, sadar, nagpur, 440001",False,0,nagpur
pure veg meals by lunchbox,"north indian,desserts,biryani",3.8,200,sadar,"azad chowk, near gandhi chowk","faasos, plot no. 227 1, azad chowk, near gandhi chowk, opp kachara ghar, sadar, nagpur, 440001",True,0,nagpur
faasos' signature wraps & rolls,"snacks,beverages,desserts,indian",3.8,350,sadar,"azad chowk, near gandhi chowk","faasos, plot no. 227 1, azad chowk, near gandhi chowk, opp kachara ghar, sadar, nagpur, 440001",False,0,nagpur
ab s-absolute barbecues,"north indian,chinese,mughlai,biryani,barbecue,grill,seafood,kebabs,pan-asian",3.7,400,dharampeth,dharampeth,"plot no. 236, survey no. 962, street no. 15/24, west high court, dharampeth, nagpur, nagpur-1, maharashtra,440010",False,0,nagpur
zaffran biryani,biryani,3.3,250,medical square,nandanvan,"221,near lal bahadur shastri high school, hanuman nagar, nagpur, maharashtra 440009",False,0,nagpur
hungama shawarma & shakes house,"arabian,beverages,lebanese,snacks,street food",2.5,250,dharampeth,dharampeth,"house no 213 zenda chowk near gajanan mandir dharampeth nagpur 440010, district - nagpur-1, state - maharashtra-440010",False,0,nagpur
hi pepper,pizzas,3.8,250,sadar,sadar,"hi pepper, f/12, ground floor, anjuman complex, sadar, nagpur. 440001",True,0,nagpur
hungama street cafe,"snacks,chinese,beverages,street food,italian,lebanese",3.2,300,dharampeth,dharampeth,"house no 213 zenda chowk near gajanan mandir dharampeth nagpur , district - nagpur-1, state - maharashtra - 440010",False,0,nagpur
chowringhee- kathi rolls and kebabs,"kebabs,north indian,street food,chinese,lebanese",3.8,200,sadar,anjuman complex,shop no. 4d anjuman complex sadaar,False,0,nagpur
reddy's gokul dairy and agro farms,"sweets,beverages,desserts",4.4,200,dharampeth,dharampeth,"plot no 72, house no451, agresen margroad, dharampeth,nagpur, maharashtra,440010",False,0,nagpur
jd's kitchen - the rice bowl co.,"north indian,indian,chinese,biryani,mughlai,desserts,punjabi",3.8,200,ramdaspeth,"kachipura chowk, jd","central bazar road, kachipura chowk, nagpur",True,0,nagpur
the brooklyn creamery - healthy ice cream,"desserts,ice cream,healthy food",4.3,200,sadar,residency road,"block no. 08, ground floor, indira archade, residency road, sadar, nagpur , zone no.10-mangalwari , nagpur urban, nagpur-1, maharashtra-440001.",False,0,nagpur
lakhan pan mandir,"paan,beverages",3.8,200,nandanvan,nandanvan,"ward no. 51 paliwal bhawan, handloom market, gandhibag, nagpur  440002",False,0,nagpur
giani's,"desserts,ice cream,beverages",3.8,150,sadar,sadar,"shop  no 8, ground floor, indira archade resedency road sardar nagpur,  maharashtra",False,0,nagpur
maharaj bag lawn,"north indian,chinese,beverages",4.1,400,gokulpeth,dharampeth,"amravati road, dharampeth, nagpur",False,0,nagpur
ssds swad ghar ka,"north indian,indian,chinese,biryani,mughlai,desserts,punjabi",3.8,200,ramdaspeth,"kachipura chowk, ssd","central bazar road, kachipura chowk, nagpur",True,0,nagpur
goli vada pav dharampeth,"fast food,beverages,snacks,street food,indian",4.0,250,dharampeth,dharampeth,"smt kanchan jaiswal m001 suprabhat sankul plot no 001 buty layout nagpur 440010, zone no.2 -dharampeth, nagpur urban, nagpur-1, maharashtra - 440010",True,0,nagpur
bowled it,"north indian,indian,chinese,biryani,mughlai,desserts,punjabi",3.6,200,ramdaspeth,"kachipura chowk, bowled","central bazar road, kachipura chowk, nagpur",False,0,nagpur
manthan biryani center,"biryani,chinese",3.8,150,dharampeth,dharampeth,"house no 830, mata mandir, dharampeth",False,0,nagpur
pizzzenia,"pizzas,italian,continental",3.6,350,byramji town,residency road,"panchminar apartment, koradi rd, chitnavis nagar, byramji town, nagpur, maharashtra 440001",False,0,nagpur
bawarchi restaurant,"punjabi,north indian,biryani,pizzas,pastas,continental",3.7,450,khare town,dharampeth,"vijay arcade, north ambazari road, shankar nagar, dharampeth, nagpur",True,0,nagpur
la pasta fresca deli,"pastas,italian,pizzas,beverages",4.2,500,dharampeth,dharampeth,"plot 2, bhagvaghar layout, opposite taori marketing, dharampeth, nagpur, maharashtra 440010",False,0,nagpur
krishnum sweets,sweets,3.8,200,ayodhya nagar,ayodhya nagar,"ajani, medical college road, near dcp zone-4 office, ajni railway colony, ajni nagpur  440003",False,0,nagpur
firangi bake,"italian,mexican,pastas,ice cream",4.1,400,sadar,"azad chowk, near gandhi chowk","faasos, plot no. 227 1, azad chowk, near gandhi chowk, opp kachara ghar, sadar, nagpur, 440001",False,0,nagpur
nineties cafe,fast food,3.8,250,dharampeth,shankar nagar,"dg/2, kamlakar apt, plot no. 4, near post office, shankar nagar",False,0,nagpur
swadesh rasoi pure veg,chinese,3.8,399,nandanvan,nandanvan,"911, block number 8, mangalwari, nagpur, maharashtra 440008, india",True,0,nagpur
the common ground sports cafe & restro,"indian,snacks,italian,tandoor,mughlai,north indian,street food,beverages",4.5,250,bajaj nagar,bajaj nagar,"sahas building, plot no. 64, near gasgodown, bajaj nagar, nagpur 440010",False,0,nagpur
firangish cafe & courtyard,chinese,3.8,500,dharampeth,dharampeth,"bhagwaghar layout, dharampeth, nagpur",False,0,nagpur
abhi chinese centre,"chinese,street food",3.8,250,nandanvan,nandanvan,"463a, siraspeth, nagpur, maharashtra 440024, india",False,0,nagpur
wanderers cafe and casual dining,"beverages,italian,fast food,chinese",3.8,300,dharampeth,dharampeth,plot no 17 prabha sadan giripeth nagpur zone no 1 laxminagar nagpur urban nagpur maharashtra,False,0,nagpur
chaiops- dj group,"beverages,italian,fast food,chinese",3.8,199,sadar,sadar,"shop no 5 mughal complex, mangalwari bazar rd, sadar, nagpur, maharashtra 440001, india",False,0,nagpur
shehzal food corner,"snacks,combo",3.8,100,sadar,sadar,"patel nagar , kamptee road star moters uppalwadi , nagpur zone no. 9 asinagar nagpur urban nagpur - 1 maharashtra - 440026",False,0,nagpur
tattwam,"south indian,north indian",3.7,500,ramdaspeth,ramdaspeth,"plot no.272, manomay plaza, central bazar road, ramdaspeth, nagpur",True,0,nagpur
paan aroma,"paan,beverages",3.8,100,sadar,sadar,"block no 12 at ground floor of buty  complex, plot no 16 bearing nmc house  number 45 situated at mount road, sadar  nagpur, zone no.10-mangalwari, nagpur  (urban), nagpur, maharashtra - 440001",False,0,nagpur
icing on the cake,indian,3.8,60,dharampeth,dharampeth,"plot no.28, gawlipura, dharampeth, nagpur-440010",False,0,nagpur
malhar fresh,"pizzas,fast food,beverages,snacks",3.8,400,sadar,sadar,"harmand apartment-1, 101, kamtee rd, 10 no. pul, near savita gas agency, kamtee, dobi nagar, bezonbagh, nagpur, maharashtra 440017, india",True,0,nagpur
mini punjab,"indian,biryani",3.7,600,khare town,dharampeth,"suprabhath apartment, near whc road, dharampeth, nagpur",False,0,nagpur
natural ice cream,ice cream,4.1,150,sadar,sadar,"h.no.298, azad chowk, sadar, nagpur, nagpur-1, maharashtra- 44001",True,0,nagpur
shahi haandi kebab & biryani,"north indian,biryani,mughlai,indian,maharashtrian,chinese",4.1,300,gokulpeth,dharampeth,"plot no 55, flat no 102  satyam apartment canal road gokulpeth nagpur, nagpur urban, nagpur-1 (maharashtra)",False,0,nagpur
jds  just  dessertz,"desserts,ice cream,snacks,beverages,indian",4.2,300,civil lines,dharampeth,"c/o. lamba traders petrol pump, near r.t.o., amravati road,nagpur	440011",False,0,nagpur
lovelys expresso,"beverages,fast food,waffle",3.8,150,dharampeth,dharampeth,"vishwkarma auto service, plot no 1, shankar nagar square petrol pump, nagpur -",False,0,nagpur
it's break time cafe,"chinese,italian,fast food,snacks,street food,beverages",3.8,250,ayodhya nagar,ayodhya nagar,"shop no. 4, plot no. 506, tajshree plaza, near basketball ground, hanuman nagar, zone no 5, nagpur urban, nagpur- 440024",True,0,nagpur
mustard restro lounge and bar,"indian,chinese,continental",3.3,800,dharampeth,c/o bawarchi restaurant,"c/o bawarchi restaurant, vijay arcade, north ambazari road, shankar nagar, dharampeth, nagpur",False,0,nagpur
mocha,"indian,continental,chinese",4.0,1400,khare town,dharampeth,"202, cement road, shankar nagar, dharampeth, nagpur",False,0,nagpur
bollywood dabeli wada pav fast food corner,"street food,indian,snacks",3.8,100,gokulpeth,dharampeth,"near trafic park vip road dharampeth nagpur urban nagpur maharashtra, 440010",True,0,nagpur
vada pavv wala,"street food,fast food,beverages",3.8,200,dharampeth,dharampeth,"house no.0375, vip road, tanga stand, near childrens traffic park, dharampeth,nagpur",False,0,nagpur
theody,beverages,3.8,500,dharampeth,dharampeth,"abhogi apartments, gajanan mandir rd, dharampeth, nagpur, maharashtra 440010, india",False,0,nagpur
piyush chaat center,chaat,3.8,100,gandhibagh,gandhibagh,"bangali panja, table market, bholashah dargha road, nagpur, zone no. 6, gandhibagh, nagpur urban, nagpur-1, maharashtra-440002",True,0,nagpur
the next chapter cafe,"north indian,chinese",3.8,250,shankar nagar square,dharampeth,"next to plot no. 169, near shankar nagar garden, next to universal projects real estate office, west shankar nagar road, shankar nagar, nagpur - 440010",False,0,nagpur
hitchki,"north indian,mughlai,indian,punjabi,tandoor,biryani",3.8,600,nagpur,nagpur,"naniks ashtavinayak park avenue, plot no-2/1 and 11/2,12th and terrace floor, new colony, chhaoni, nagpur,nagpur urban, nagpur-1,maharashtra, 440001",False,0,nagpur
tkg-the kebab guy,"kebabs,north indian,fast food",4.6,400,byramji town,sadar,"36, koradi rd, byramji town, nagpur, maharashtra 440013, india",False,0,nagpur
falani mastani,"desserts,beverages",4.2,300,khare town,dharampeth,"(dairy don) namos food court, madhumadhav tower, laxmi bhawan square, dharampeth, nagpur",True,0,nagpur
chinese specialist,"chinese,snacks",3.8,200,dharampeth,dharampeth,plot no 7 dube lay out government press society nagpur nagpur urban nagpur 1 maharashtra,False,0,nagpur
abhinu's kitchen,north indian,3.8,300,sadar,sadar,"gaddigodam near police chowki, zone no- 10, mangalwari, nagpur (urban), nagpur, maharashtra- 440001",True,0,nagpur
bollywood dabeli wadapav and fastfood corner,street food,3.8,150,dharampeth,dharampeth,near trafic park vip road dharampeth nagpur 440010 nagpur urban nagpur 1 maharashtra,True,0,nagpur
kings chinese specialist,"chinese,snacks",3.8,200,dharampeth,dharampeth,plot no 7 dube lay out government press society nagpur nagpur urban nagpur 1 maharashtra  goverment,False,0,nagpur
shreenath pizza and sandwich,snacks,3.8,250,dharampeth,traffic park,"258na, w high court rd, opp. traffic park",True,0,nagpur
three beans,fast food,4.0,500,dharampeth,dharampeth,"janki apartments,beside accounting academy, dharampeth, nagpur",False,0,nagpur
cafe hide n seek,"fast food,snacks,arabian,ice cream,beverages",3.8,250,sadar,sadar,shop no b 7 b 8 achraraj tower koradi katol road junction chaoni nagpur zone no 10 mangalwari nagpur urban nagpur 1 maharashtra,False,0,nagpur
myfroyoland,"desserts,beverages",3.8,300,bajaj nagar,bajaj nagar,"shop no. 009 pratibha sankul apartment no. 001 khare town , zone no.2 -dharampeth, nagpur urban, nagpur-1",True,0,nagpur
delicious bites cafeteria,"fast food,pizzas",3.8,250,sadar,sadar,"539r+58 nagpur, maharashtra, india",True,0,nagpur
the pizza company,pizzas,3.8,350,sadar,sadar,"house no. 766/a, tailors lin chhoni, katolroad, narkhed, saoner, nagpur (rural), nagpur, maharashtra- 440013",True,0,nagpur
golgappa express,"indian,street food,chaat",4.0,150,dharampeth,dharampeth,"desi food court, swapnil rajni apartment, w high ct rd, dharampeth extension, dharampeth, nagpur",False,0,nagpur
hideout cafe,"chinese,italian,continental",3.8,300,bajaj nagar,dharampeth,"hideout cafe  shop number 1,2 plot number 54 khare town 440010",False,0,nagpur
punjabi chaap corner,indian,3.5,300,sadar,dharampeth,plot no. 1058 azad chowk sadar nagpur 440001,False,0,nagpur
bold brista,"fast food,beverages,snacks",3.8,300,sadar,sadar,"s no 10 mahavir complex nrmadhusala wine kadbi chowk, zone no. 1 - laxminagar, nagpur urban, nagpur-1, maharashtra - 440004",False,0,nagpur
pablo - the art cafe' lounge,"chinese,continental,indian",3.5,500,civil lines,civil lines,"240a, e high ct rd, civil lines, nagpur, maharashtra 440001",False,0,nagpur
dilli zaika,"north indian,chinese,snacks,beverages",3.8,200,sadar,sadar,shop no 4 mangalwari complex wing sadar zone no 10 mangalwari nagpur urban nagpur maharashtra,False,0,nagpur
cluckers fried chicken restaurant,"american,snacks,continental",4.3,250,byramji town,sadar,"shop no 22,23 , poonam chamber, near monte carlo , above dominos",False,0,nagpur
mr. meals,"fast food,north indian,snacks,indian,chinese",3.8,250,medical square,nandanvan,"221,near lal bahadur shastri high school, hanuman nagar, nagpur, maharashtra 440009",False,0,nagpur
swadesh rasoi,"indian,snacks,desserts",3.6,500,mahal,nandanvan,911 old mangalwari pandit pura paunikar house,False,0,nagpur
delhi grill,"north indian,kebabs,snacks",3.8,200,dharampeth,dharampeth,"unit no. g-3, shiv gaurav estate, main road, dharampeth, nagpur   440010",False,0,nagpur
bombay pawbhaji,"street food,chaat",3.8,200,dharampeth,dharampeth,swapnil rajni apartment dhrampeth extention dharampethnnagpur,True,0,nagpur
ashirwad snacks zone,"street food,snacks,beverages",3.8,300,dharampeth,dharampeth,"opposite ganesh sagar, besides roshan automobiles, hakim arcade, dharampeth, nagpur",True,0,nagpur
dairy don,"desserts,beverages",3.8,100,khare town,dharampeth,"madhu madhav tower, laxmi bhavan chowk, dharmpeth, nagpur",True,0,nagpur
nawazish,"north indian,biryani",3.8,300,ayodhya nagar,ayodhya nagar,"10, medical chowk, hanuman nagar, nagpur, maharashtra 440024, india",False,0,nagpur
chilly's - chinese kitchen,"chinese,beverages,thai",3.8,300,medical square,nandanvan,"221,near lal bahadur shastri high school, hanuman nagar, nagpur, maharashtra 440009",False,0,nagpur
manish bakery,bakery,3.8,200,ayodhya nagar,ayodhya nagar,"ajani, medical collegeroad, near dcpzone-4 office, ajnirailway colony, ajninagpur",False,0,nagpur
barbecue express delivery,"biryani,kebabs,indian,barbecue,north indian",4.1,200,dharampeth,dharampeth,"flat no. 102, satyam apartment, canal road, gokulpeth, nagpur",False,0,nagpur
eat street express,"indian,biryani,tandoor,chinese",3.7,250,dharampeth,law college square,"law college square, whc road, dharampeth, nagpur",False,0,nagpur
222 backyard,"fast food,pizzas",3.8,300,dharampeth,dharampeth,225a west high court road behind max showroom gokulpeth dharampeth zone no 2 dharampeth nagpur urban nagpur 1 maharashtra,False,0,nagpur
break time cafe,"chinese,pizzas,italian,beverages",3.8,149,ayodhya nagar,ayodhya nagar,"shop no. 04, plot no. 506, tajshree  plaza, near basket ball ground,  hanuman nagar, zone no.5- hanumannagar, nagpur urban, nagpur-1,  maharashtra - 440024",True,0,nagpur
collective blends,"continental,beverages,american,mexican,italian",4.4,300,khare town,dharampeth,"23b, near hdfc bank, om sai nagar, shivaji nagar, nagpur, maharashtra 440010",False,0,nagpur
only thalis.com,north indian,3.8,300,dharampeth,dharampeth,"c/o bawarchi restaurant, vijay arcade, north ambazari road, shankar nagar, dharampeth, nagpur",False,0,nagpur
mad about coffee,"beverages,desserts,juices,continental,italian",4.2,200,dharampeth,dharampeth,"shop no 5 chandra bhawan zone no 2 dharampeth nagpur urban, nagpur-1, maharashtra-440010",True,0,nagpur
fuel headquaters,"fast food,beverages",4.0,250,bajaj nagar,laxminagar mate sqare road,"beside vijaya bank, laxminagar mate sqare road, bajaj nagar, nagpur",False,0,nagpur
shreenath food joint,"chaat,chinese,snacks,fast food,street food,beverages",3.7,150,futala,bharat nagar,"shop 1, ganesh tower, bharat nagar, sq,amrawati rd, vayusena nagar",True,0,nagpur
laziz affair,"mughlai,fast food",2.8,350,byramji town,sadar,"opposite chhoroni masjid, sadar, nagpur",False,0,nagpur
zinea,"fast food,pizzas,pastas",3.8,400,dharampeth,dharampeth,"dharampeth towers 209 west high court road, square, shankar nagar, dharampeth, nagpur, maharashtra",False,0,nagpur
midas touch,"indian,chinese",3.8,800,dharampeth,whc road,"210,w high courtroad,dharampeth",False,0,nagpur
burger master,"american,chinese,fast food,snacks,italian",3.8,200,sadar,sadar,kashmiri gali road frontier apartment no 1/36 ward no 54 cooperative housing society ltd nagpur 440017,False,0,nagpur
btc special combo,"chinese,pizzas,fast food",3.8,200,ayodhya nagar,ayodhya nagar,"shop no. 04, plot no. 506, tajshree  plaza, near basket ball ground,  hanuman nagar, zone no.5- hanumannagar, nagpur urban, nagpur-1,  maharashtra - 440024",True,0,nagpur
foodie land,"north indian,fast food",3.8,300,dharampeth,dharampeth,"20, mama rd, dharampeth, nagpur, maharashtra 440010, india",True,0,nagpur
barbeque hut,"north indian,chinese",3.8,300,mahal,gandibagh,"house no. 880, near heera plaza, zone no. 8, ward no. 37, khadgi mohalla, juni itwari, nagpur",False,0,nagpur
the pixie bee,"beverages,desserts,snacks",3.8,300,dharampeth,dharampeth,"544 whc road, giripeth , zone no.2 - dharampeth , nagpur urban, nagpur",False,0,nagpur
the sandwich king,fast food,3.8,200,ayodhya nagar,ayodhya nagar,plot no 91 viraj society siddheshwari nagar manewada road nagpur zone no 5 hanumannagar nagpur urban nagpur maharashtra,False,0,nagpur
jailaxmi gruha udyog,snacks,3.8,200,dharampeth,dharampeth,"plot no32,shree prasad apartment,new verma alyout,opp ambazari garden ,zone no 2,dharampeth,nagpur,maharshtra",False,0,nagpur
the bite,"italian-american,fast food,snacks",3.8,250,sadar,sadar,plot no 1266/d/12 ratan nagar near mankapur nagpur zone no 10 mangalwari nagpur urban nagpur maharashtra,False,0,nagpur
4ks cafe,"chinese,snacks,beverages",3.8,150,sadar,sadar,"behind culcutta roll katol road  sadar chhaoni nagpur, zone no.10- mangalwari, nagpur urban, nagpur-1,  maharashtra - 440001",False,0,nagpur
whatthefruit,"juices,salads",3.8,250,dharampeth,dharampeth,"dharampeth, nagpur, maharashtra 440010, india",True,0,nagpur
roadies food,north indian,3.8,300,sadar,jaripatka,"231, mecosabagh sindhi colony, jaripatka road, bezonbagh, nagpur, zone no.9-asinagar, nagpur (urban), nagpur, maharashtra - 440001",False,0,nagpur
express by abs,"biryani,north indian,chinese,south indian,kebabs,pan-asian",3.4,400,gokulpeth,dharampeth,"no. 15, survey no. 962, street, 24, w high ct rd, dharampeth, nagpur, maharashtra 440010",False,0,nagpur
mirchi masala saoji,"maharashtrian,north indian,chinese,biryani,seafood,tandoor",3.4,200,ramdaspeth,bajaj nagar,"c/o sujal saoji, 201, central bazar road, bajaj nagar, nagpur",False,0,nagpur
thakur tadka,south indian,3.8,150,dharampeth,dharampeth,plot no. 1 indradhanush sadnika ambazari lay out nagpur zone no 2 dharampeth nagpur urban nagpur 1 maharashtra 440010,False,0,nagpur
spicy food plaza,"chinese,indian",3.8,300,dharampeth,dharampeth,"near hp petraol pump borvel  friends colony katol road nagpur,  zone no.2 -dharampeth, nagpur (urban),  nagpur, maharashtra - 440013",False,0,nagpur
the food smugglers,"north indian,indian,chinese,biryani,mughlai,desserts,punjabi",3.2,200,ramdaspeth,"kachipura chowk, smuggler","central bazar road, kachipura chowk, nagpur",False,0,nagpur
shagun food counter,indian,3.8,300,gandhibagh,gandhibagh,"c/o gulabrao bokade, bokade building 3rd floor, near saify kirana, near baba bhola shah dargha maskasath road, bangali panja, nagpur, zone no. 6, gandhibagh, nagpur (urban), nagpur, maharashtra- 44000",True,0,nagpur
rotika. in,north indian,3.8,100,dharampeth,dharampeth,"shivaji nagar main rd, shivaji nagar, nagpur, maharashtra 440010, india",True,0,nagpur
sardar ji ki rasoi,"north indian,biryani,chinese",3.9,300,ramdaspeth,ramdaspeth,"central bazaar road, shankar nagar, ramdaspeth, nagpur",False,0,nagpur
ms chaap corner,"barbecue,indian,snacks,north indian",4.3,250,nandanvan,nandanvan,"ms chaap corner, new nandanvan layout, nandanvan, nagpur, maharashtra, india",True,0,nagpur
dosa plaza,"south indian,north indian,beverages,snacks,chinese,street food",3.6,200,ravi nagar,dharampeth,"unit no. 1&2, thakur apartment, amravati road, nagpur, district - nagpur-1, state - maharashtra,440010",True,0,nagpur
nic natural ice creams,"ice cream,desserts",4.5,120,nagpur,achraj towers katol road,"shop no. g-301, achraj towers katol road, chindwada rd, sadar, nagpur, maharashtra 440013",True,0,nagpur
biryani bazar by kilo,"biryani,north indian,kebabs,indian",4.4,200,dharampeth,dharampeth,"flat no 102, satyam apartment canal road, gokulpeth, nagpur, nagpur urban, nagpur-1 (maharashtra)",False,0,nagpur
dairy don supreme sandwich & pizza,pizzas,3.8,200,dharampeth,dharampeth,"lg-9, dairy don, madhu madhav tower, laxmi bhavan squre, dharampeth, nagpur	440010",False,0,nagpur
open house,"indian,chinese",3.9,400,bajaj nagar,bajaj nagar,"63, bajaj nagar, nagpur",True,0,nagpur
khandeshi tadka,maharashtrian,3.6,200,gokulpeth,dharampeth,"plot no. 137, near walmiki nagar, shankar nagar nagpur",True,0,nagpur
lazeez biryani house,"biryani,north indian",3.8,200,ayodhya nagar,ayodhya nagar,plot no 2/a near eye to eye taj nagar manewada road nagpur zone no 5 hanumannagar nagpur urban nagpur maharashtra,False,0,nagpur
maharashtrian aaswad,"indian,maharashtrian,snacks,north indian,desserts,beverages",3.1,200,gokulpeth,dharampeth,"plot no. 137, near walmiki nagar, shankar nagar nagpur",True,0,nagpur
venom's tomando cafe,"fast food,pizzas,beverages",3.9,300,nandanvan,nandanvan,"old bagdganj, gangabai ghat road, nagpur -440008",False,0,nagpur
asian bistro restaurant,"indian,chinese,italian,tandoor,continental,pizzas,snacks",3.8,250,bajaj nagar,bajaj nagar,"pl.no.69, st-01 and st-05, dharnidhar palace, w.h.c. road, bajaj nagar, nagpur 440010",False,0,nagpur
bouffage cafe & bistro,indian,3.9,500,shankar nagar square,dharampeth,"wockhart hospitl lane, near l.a.d college, shankar nagar , dharampeth, nagpur",False,0,nagpur
pappe-da restaurant,north indian,4.2,400,nandanvan,gandhibagh,"opposite tulsi building, lakadganj, nagpur,nandanvan,nagpur",False,0,nagpur
sai food,south indian,3.8,150,nandanvan,nandanvan,"near ajmera tyres, gangabai ghat road juni mangalwari, nagpur urban nagpur - 1 maharashtra - 440008",True,0,nagpur
bombay kulfi,"ice cream,desserts,beverages",4.3,150,dharampeth,dharampeth,"285, buty plot, hanuman mandir rd, beside gokul vrindavan, dharampeth, nagpur",True,0,nagpur
shreenathji pav bhaji pulav ,"pizzas,snacks,street food,indian",3.8,250,bajaj nagar,bajaj nagar,"plot no. 69 shop no s t 4 and s t 8 dharnidhar complex bajaj nagar chowk nagpur 440010 no 99752319 , nagpur urban nagpur 1 (maharashtra) - 440010",True,0,nagpur
loc - life of chai,"beverages,snacks,street food,chinese",3.8,200,indora square,sadar,"plot no. 697, shop no. sgf-4, karamsheel heights, dr. ambedkar mark, indora chowk, nagpur  440017",False,0,nagpur
d food mania 24,"pizzas,chinese,italian",3.8,200,ayodhya nagar,ayodhya nagar,"94/1, raghuji nagar, nagpur, maharashtra 440024, india",False,0,nagpur
shrikhandwala,"desserts,sweets",4.8,200,nagpur,pratap nagar,"vitthal rukhmini complex, upper floor, laxmi nagar main road, opp. ginger garlic restaurant, nagpur - 440022",True,0,nagpur
tdm the delicious mystery,"fast food,beverages",3.8,250,sadar,sadar,"plot no. 697, shop no. sgf-4, karamsheel heights, dr. ambedkar mark, indora chowk, nagpur 440017",False,0,nagpur
the chocolate room,"pizzas,snacks,italian,desserts,beverages,continental",3.9,300,ravi nagar,dharampeth,"plot no.4-a,gurushankar apartment,tilak nagar,amravati road,nagpur, district - nagpur-1, state - maharashtra",False,0,nagpur
shree srinivasa,south indian,3.8,150,dharampeth,dharampeth,"shop no.15, old post office raod, gokulpeth bazar, gokulpeth market, dharampeth, nagpur, maharashtra 440010, india",True,0,nagpur
chaat shaala,"street food,snacks,desserts,beverages,italian,chinese",3.8,200,ravi nagar,ravinagar,"shop no 1,thakur apartment,tilak nagar square,amravati rd",True,0,nagpur
variety foods,"maharashtrian,north indian,desserts,beverages",4.1,200,vivekanand nagar,"w high court road, surendra nagar","plot number 37, devashish apartment, w high court road, surendra nagar, vivekanand nagar, nagpur",True,0,nagpur
ajit bakery- ajni square,bakery,4.4,250,ajni,wardha road,"4,divadkar complex,wardha road",False,0,nagpur
the momo's bar,indian,3.8,300,c a road,nandanvan,"plot no 143 near ram bhandar main nandanwan road nandanwan,nagpur, district - nagpur-1, state - maharashtra",False,0,nagpur
p r bakers,"pizzas,fast food,chinese,snacks",3.8,200,jaripatka,jaripatka,"plot no 31,nara road,bhim chowk,nagsen nagar,nagpur",True,0,nagpur
taste of kerala and co,"south indian,thalis,kerala,biryani,snacks",4.1,200,byramji town,sadar,"block no20 ,ternament bldg ,jagat apt ,bairamji town zone no.10. mangalwari, nagpur urban, nagpur-1,maharashtra-440013",False,0,nagpur
dahiya momos (bajaj nagar),north indian,4.4,200,bajaj nagar,dharampeth,"plot no 10, abhyankar nagar nagpur",False,0,nagpur
mezbaan,"north indian,chinese,biryani",3.4,400,dharampeth,dharampeth,"20, shivshankar apartment, shankar nagar, nagpur- 440010, zone no. 2- dharampeth, nagpur(urban), nagpur, maharashtra- 440010",False,0,nagpur
king of momo's,north indian,3.8,250,ayodhya nagar,ayodhya nagar,"2, somwaripeth, nagpur, maharashtra 440024, india",False,0,nagpur
eats and treats,"chinese,pizzas,indian,beverages,biryani",4.3,300,nandanvan,nandanvan,"nandanvanam main rd, near nirmal bank, new nandanvan layout, jawahar nagar, nandanvan, nagpur, maharashtra",True,0,nagpur
ganesh point,"indian,chinese,beverages",3.8,200,nandanvan,nandanvan,"44 sakkardara chowk .l, nagar urban,, nagpur-1 (maharashtra),- 440009",True,0,nagpur
jd's dessert boutique,"bakery,desserts,sweets",4.3,250,byramji town,sadar,"9, achraj retreat, nelson square, sadar, nagpur",False,0,nagpur
food bingo,snacks,3.8,300,itwari,nandanvan,"house no 420/5 baraipura lalganj laxmi vishnu building nagpur, district - nagpur-1, state - maharashtra",False,0,nagpur
annapurna restaurants,"north indian,south indian,chinese,street food,desserts,sweets,beverages",4.1,500,shashtri nagar,ca road,"ambedkar chowk, ca road, nagpur",False,0,nagpur
gurpal foods,"north indian,chinese,kebabs,seafood",3.7,300,indora chowk,indora chowk,"kamal bar & restaurant, indora chowk, nagpur",False,0,nagpur
goli vada pav - chaprunagar sq.,"fast food,snacks,street food,chinese,beverages,indian",3.8,100,chaprunagar square - lakadganj,lakadganj,"chapru lok building, lakadganj, nagpur",True,0,nagpur
the waffle boss co.,"desserts,beverages",3.8,400,bajaj nagar,bajaj nagar,"shop 3, plot 4, raghokul building, central bazar road, bajaj nagar, nagpur",True,0,nagpur
milkshake hub,beverages,3.8,200,ojas aahar,mrunal restaurant,"quarter no. 90/1 somwari quarter nagpur, zone no-5-hanumannagar, nagpur (urban), nagpur, maharashtra-440009",False,0,nagpur
crostino,"italian,fast food,beverages,pastas,desserts",3.7,300,c a road,nandanvan,"329/b, sharda chowk, ganesh nagar, nandanvan, nagpur",True,0,nagpur
kerala kitchen,"south indian,indian,biryani,combo",3.8,250,sadar,sadar,"1st floor subham apartment, koradi rd, byramji town, nagpur, maharashtra 440001",False,0,nagpur
toscana cafe & bistro,"chinese,continental,italian,asian,north indian",3.8,200,ravi nagar square,dharampeth,"a-4,ground floor,gurushankar apartment ,tilak nagar. amravti road ,nagpur:440010",False,0,nagpur
supr baker,bakery,3.8,400,khare town,dharampeth,"shop no 9, ramdaspeth sq, dharampeth",True,0,nagpur
food mania 24,"pizzas,italian,chinese",3.8,300,sitabuldi,sitabuldi,quarter no 94/1 somwari quarter nagpur zone no 5 hanumannagar urban  440009,False,0,nagpur
